customer_id,total_wagered,avg_bet_per_session,loss_rate,total_sessions,days_since_last_visit,avg_session_value,loss_chasing_indicator,sessions_last_30d,bet_trend_ratio,normalized_avg_bet,normalized_sessions,normalized_loss_rate,period_id,total_bet,total_win
261476,2999.55,2999.55,17.34,2,0,25496.2,0,2,1.0,0.5189663711015766,-0.08867490002411302,0.051818020513887855,2022-H2,50992.4,42152.75
261583,107.3,107.3,-33.32,2,0,214.6,0,2,1.0,-0.3095499328901941,-0.08867490002411302,-0.8503422215552005,2022-H2,429.2,572.2
261623,10066.34,10066.34,8.32,2,0,307023.25,0,2,1.0,2.5433248227865985,-0.08867490002411302,-0.10881137908072677,2022-H2,614046.5,562978.68
261622,92.03,92.03,13.36,1,0,368.1,0,1,1.0,-0.31392418959758606,-0.3445237918969637,-0.01905836644692881,2022-H2,368.1,318.91
262660,2239.03,2239.03,11.55,1,0,20151.3,0,1,1.0,0.3011071889728459,-0.3445237918969637,-0.051291095190415754,2022-H2,20151.3,17823.2
263543,402.95,402.95,-4.36,1,0,3223.6,0,1,1.0,-0.22485779172841105,-0.3445237918969637,-0.334618561659409,2022-H2,3223.6,3364.15
264712,1839.33,1839.33,-16.82,1,0,16554.0,0,1,1.0,0.18660879958551388,-0.3445237918969637,-0.5565079540040762,2022-H2,16554.0,19338.54
262290,14.0,14.0,71.43,1,0,14.0,1,1,1.0,-0.3362767273106046,-0.3445237918969637,1.0150601739587555,2022-H2,14.0,4.0
262894,3774.9,3774.9,36.68,1,0,7549.8,1,1,1.0,0.7410737671773028,-0.3445237918969637,0.3962273983586603,2022-H2,7549.8,4780.2
259726,83.8,83.8,47.23,1,0,167.6,1,1,1.0,-0.31628176213863624,-0.3445237918969637,0.5841032482171064,2022-H2,167.6,88.44
264032,71.05,71.05,-10.87,1,0,142.1,0,1,1.0,-0.3199341375819399,-0.3445237918969637,-0.450549536311398,2022-H2,142.1,157.55
261315,70.0,70.0,71.43,1,0,70.0,1,1,1.0,-0.3202349214419766,-0.3445237918969637,1.0150601739587555,2022-H2,70.0,20.0
201148,339.77,339.77,41.84,1,0,2038.6,1,1,1.0,-0.24295638627805238,-0.3445237918969637,0.48811738748373923,2022-H2,2038.6,1185.68
202809,894.62,894.62,23.14,5,0,3220.6400000000003,1,5,1.0,-0.08401360081004859,0.678871775594439,0.1551052175924649,2022-H2,16103.2,12377.62
