customer_id,total_wagered,avg_bet_per_session,loss_rate,total_sessions,days_since_last_visit,session_duration_volatility,loss_chasing_score,sessions_last_30d,bet_trend_ratio,avg_session_value,loss_chasing_indicator,normalized_avg_bet,normalized_sessions,normalized_loss_rate,period_id,total_bet,total_win
255319,893.67,893.67,1.6,2,0,184.879239865739,0.0,2,1.0,1340.5,0,-0.03708271052495959,-0.049645466622497185,-0.39201147245378537,2022-H1,2681.0,2638.2
255286,148.17,148.17,18.0,1,0,143.549933240435,0.0,1,1.0,444.5,0,-0.19121863843535808,-0.39458778895711194,0.03474896766981832,2022-H1,444.5,364.5
254460,642.14,642.14,9.57,3,0,624.966570534548,0.0,3,1.0,2354.5,0,-0.08908782111825608,0.29529685571211756,-0.1846163073449365,2022-H1,7063.5,6387.65
254865,915.79,915.79,19.31,2,0,822.725122782295,0.0,2,1.0,6868.39,0,-0.032509287687430395,-0.049645466622497185,0.06883775892359394,2022-H1,13736.78,11084.25
255923,541.83,541.83,36.16,2,0,166.328239734969,54.183,2,1.0,812.75,1,-0.10982742531502612,-0.049645466622497185,0.5073080891725403,2022-H1,1625.5,1037.75
255394,182.4,182.4,-9.68,2,0,223.844946335628,0.0,2,1.0,547.2,0,-0.18414141132285247,-0.049645466622497185,-0.6855393849290444,2022-H1,1094.4,1200.3
256909,17128.65,17128.65,3.68,6,0,40607.36468507,0.0,6,1.0,148448.31666666668,0,3.3195822216102004,1.330123822715962,-0.3378857580966454,2022-H1,890689.9,857893.4
256901,137.31,137.31,20.54,1,0,109.714882764372,13.731,1,1.0,686.55,1,-0.19346399883389187,-0.39458778895711194,0.10084479193286422,2022-H1,686.55,545.55
257509,4453.17,4453.17,6.35,2,0,3027.813480004501,0.0,2,1.0,26719.0,0,0.6988620720331403,-0.049645466622497185,-0.2684070766862782,2022-H1,53438.0,50042.56
255262,9760.8,9760.8,20.41,1,0,9551.624008512897,976.08,1,1.0,48804.0,1,1.7962416495717966,-0.39458778895711194,0.097461934785543,2022-H1,48804.0,38844.9
256614,361.93,361.93,13.83,3,0,425.116808190479,0.0,3,1.0,1447.7333333333333,0,-0.1470226680126528,0.29529685571211756,-0.07376268082502481,2022-H1,4343.2,3742.42
256147,210.5,210.5,71.26,1,0,,63.15,1,1.0,210.5,1,-0.17833159298042162,-0.39458778895711194,1.4206795189492776,2022-H1,210.5,60.5
257086,47.33,47.33,-70.64,2,0,29.252407308345298,0.0,2,1.0,71.0,0,-0.21206782283573983,-0.049645466622497185,-2.271839167242147,2022-H1,142.0,242.31
254662,392.74,392.74,5.03,11,0,256.303985187349,0.0,11,1.0,1249.6227272727274,0,-0.14065254334609428,3.0548354343890356,-0.302756087720617,2022-H1,13745.85,13053.95
255431,619.09,619.09,27.63,2,0,467.995695611734,61.909,2,1.0,2785.9,1,-0.0938535261998586,-0.049645466622497185,0.28534061635215385,2022-H1,5571.8,4032.4
257159,176.62,176.62,-34.38,3,0,166.340543354999,0.0,3,1.0,647.6,0,-0.18533645580752328,0.29529685571211756,-1.3282822429200816,2022-H1,1942.8,2610.75
